a_line_number	b_z_score	c_source_sent	d_reference_sent	e_system_output	f_neg_error	g_notes	h_source	
2675	-0.156	Başka bir deyişle bir şehrin birçok klişesi hayal kırıklığı olabiliyor: Yüksek binaların manzaraları sıkıcı gelmeye başlıyor, ufuk çizgisi fazla heyecan yaratamayacak kadar tanıdıklaşmaya başlıyor ve şehrin gerçekliği düştekine ulaşmıyor.	So many of the cliches of a city disappoint: views from tall buildings get old, skylines grow too familiar to offer much of a thrill, and the reality of the city doesn't live up to the dream.	In other words, many stereotypes of a city can be disappointing: the sights of higher buildings are getting boring, the horizon is getting too familiar to create more excitement, and the reality of the city is not falling.	1			
120	-0.155	Trump'ın gelişi için Baptist John tarzı biri olan büyük palavracı Rush Limbaugh, 2010'da Özgürlük'ün kimseyi içeri davet etmediğini fakat daha çok Amerikan ateşini karanlıkta kalmış dünyaya tutan erken devir bir neocon olduğunu savundu: "Bayan Özgürlük öne çıkıyor.	The great loudmouth Rush Limbaugh, a kind of John the Baptist for the coming of Trump, argued in 2010 that Liberty is not inviting anyone in, but is rather an early neocon, taking the American flame out to the benighted world: "Lady Liberty is stepping forward.	Rush Limbaugh, who was the Baptist John-style for Trump's arrival, argued in 2010 that freedom did not invite anyone in, but that it was a neocon of early revolutions that kept the American fire in the dark.	0			
318	-0.154	Hatay'ın Reyhanlı ilçesindeki Cilvegözü Sınır Kapısı'dan insani yardım, gıda, ilaç, temizlik maddeleri dışında malzeme taşıyan tırların geçişine müsaade edilmeyecek.	Trucks carrying loads other than humanitarian aid, food, medicine or cleaning materials will not be allowed to pass through the Cilve Gözü Border Gate in the Reyhanlı District of Hatay Province.	Cilvegözü border Gate in reyhanli district of Hatay, humanitarian aid, food, medicines, cleaning materials with the exception of materials will not be allowed to pass the truck.	1			
1941	-0.136	Firmaların hiçbiri, bu hamleleri geri çağırma olarak tanımlamadı.	None of the companies described the moves as recalls.	None of the firms described these moves as recall.	0			
2200	-0.122	Sadece rütbe olarak değil.	Not just as a rank.	Not just rank.	0			
2476	-0.122	Ve senin umurunda değilse neden benim umurumda olsun?'"	And if you don't care, why should I care?' "	And why do I care if you don't care?'"	0			
839	-0.122	Kesinlikle oğlumuzun internet üzerinden bir oyun yüzünden kendisine ve başkasına zarar verebileceğinive ya intihar edebileceğini düşünmüyoruz.	In no way do we think that our son could have hurt himself, or others, or have committed suicide because of a game that he played over internet.	We certainly don't think that our son could harm himself or anyone else because of an Internet game or commit suicide.	0			
2276	-0.122	David şöyle dedi: "Bu belgesel, birisinin bizim için konuşması ya da bize konuşması değil; konuşan biziz."	"This documentary is not somebody speaking for us or speaking to us, it's us speaking," Davis said.	David said, "this documentary is not someone talking to us or talking to us; It's US talking."	0			
310	-0.113	Çavuşoğlu ise Şanghay İşbirliği Örgütü ile ilgili olarak "Türkiye, bölgesel ve uluslararası örgütlerle yakın iş birliği arayışı içinde, uluslararası örgütler birbirinin alternatifi değil, tamamlayıcısı" dedi.	On the Shanghai Cooperation Organization, Çavuşoğlu said "Turkey is searching for cooperation with regional and international organizations; international organizations are not alternatives for one another, but rather they complement each other".	Çavuşoğlu said about Shanghai Cooperation Organization, "Turkey is complementary, not alternatives, in seeking close cooperation with regional and international organizations."	1			
512	-0.112	"Biz dava etme yoluyla düzenlemeye inanmayız ve biz termin tarihlerini ciddiye alırız.	"We do not believe in regulation through litigation, and we take deadlines seriously.	"We do not believe in the arrangement through trial and we take the dates of the term seriously.	0			
77	-0.099	Konuşmasında, IKBY'nin 25 Eylül'de düzenlemek istediği bağımsızlık referandumuna değinen Barzani, şunları ifade etti: "Bunu üzülerek belirtmem gerekiyor, Irak'ın doğru ve düzgün bir ülke olacağından hiç ümidimiz yok."	In his speech, touching upon the issue of the independence referendum that the KRG wanted to hold on September 25the, he said "I regretfully report that we have no hope at all that Iraq would every become a proper country."	In his speech, Barzani mentioned the Independence Referendum that the Ikb wanted to hold on September 25, and said: "I regret to say this, we have no hope that Iraq will be a proper and correct country."	0			
1051	-0.099	Başka hiçbir isim bu derece bir ilgi yaratmaz.	No other names can generate that kind of attention.	No other name creates such an interest.	0			
1701	-0.088	Johnson'ın temelli olarak Twitter'dan taciz nedeniyle yasaklanmış olması ya da hiçbir somut kanıt sunmaması ya da geçmişte düzmece suçlamalar yöneltmiş olması ve onlardan dönmüş olması bir önem taşımıyordu.	No matter that Johnson had been permanently banned from Twitter for harassment or that he offered no concrete evidence or that he had lobbed false accusations in the past and recanted them.	It was not of any importance that Johnson had been banned from Twitter for harassment, or that he had not presented any concrete evidence, or that he had been charged with false charges in the past and had returned from them.	0			
2259	-0.085	Sadece aktivizm ve organize etme alanında iyice gelişmemeli aynı zamanda siyahi deneyiminin katmanlarını ve siyahi durumunu bilme ve özgürleşme, kendimizi özgürleştirme için ne yapmamız gerektiğini bilmeli.	She needs to be well developed in the area of not just activism and organizing but knowing the different layers of the black experience and the black condition and what we must do to get free, to free ourselves.	It should not only flourish in the field of Activism and organizing but also know the layers of the Black experience and the Black state and what we must do to liberate ourselves.	0			
2569	-0.085	"Okyanus ötesinden beslenen kökü içerideki dış mihraklar bedeli ne olursa olsun amaçlarına ulaşamayacaklardır" dedi.	"Foreign forces with roots in their own countries, fed by forces from over the ocean, will never be able to reach their goals, whatever price they pay" he said.	"The root of the ocean-fed foreign mihrak inside will not be able to achieve its goals, no matter what the cost," he said.	0			
503	-0.082	Bir federal yüksek mahkemesinde kendi önceki pozisyonuna karşı açılan hukuki itiraz konusundan hiç bahsetmedi.	He made no mention of the legal challenge filed against his prior position in a federal appeals court.	A federal Supreme Court never mentioned the subject of a legal appeal against its previous position.	0			
1077	-0.052	The Local'a, "Geçmiş aylara göre istatistiklerde büyük bir farklılık görmüyoruz, rakamlar oldukça tutarlı." dedi.	"We see no big difference in the statistics from previous months, the numbers are quite consistent," he told The Local.	"We don't see a big difference in statistics over the past months," said the local." quoth.	0			
954	-0.047	Lens konusunda netleşmeden bilgi vermem mümkün değil.	I cannot share any further information on Lens without clarifying the issue.	It is not possible to give information without clarification about the lens.	1			
12	-0.045	Aslında bu boyuttaki asteroitler mahallenizi yok etmez ama muhtemelen tüm binaların camları patlayacaktır.	Actually, an asteroid of that size would not wipe out your neighborhood, but it’d probably blast out all of the buildings’ windows.	In fact, asteroids of this size will destroy your neighborhood, but probably all the buildings will be blown up.	1			CONTRADICTION (WITH RELATIVELY HIGH SCORE)
290	-0.045	Cübbeli Ahmet'in Mehmet Görmez ile ilgili sözleri şaşırtıcı değildi: "Diyanet'e bundan tehlikelisi gelmemiştir.'	Cübbeli Ahmet’s words for Mehmet Görmez were not surprising: "The Diyanet has never had one more dangerous."	It was not surprising that the words of Ahmet cübeli Mehmet görmez: "he did not come to the danger of this.'	1			
321	-0.045	Söz konusu sınırlandırmanın ne kadar süreceğine dair ise bir bilgi verilmedi.	No information is available as to how long this restriction will continue.	No information was given on how long this restriction would last.	0			
1166	-0.045	(İkisi de gülüyor) Aslında çok sıkı bir diyetim yok ama zaman zaman yediklerime karışıyor.	(Both laugh) Actually, I do not have a very strict diet, but she intervenes from time to time into what I eat.	(Both laughing) I don't actually have a very strict diet, but from time to time it mixes with what I eat.	0			
